iter	Passed	Remaining
928	1609	123
929	1611	121
930	1612	119
931	1613	117
932	1615	116
933	1616	114
934	1618	112
935	1620	110
936	1621	109
937	1623	107
938	1624	105
939	1626	103
940	1627	102
941	1629	100
942	1630	98
943	1632	96
944	1633	95
945	1635	93
946	1636	91
947	1638	89
948	1639	88
949	1641	86
950	1642	84
951	1644	82
952	1646	81
953	1647	79
954	1649	77
955	1651	75
956	1652	74
957	1653	72
958	1655	70
959	1657	69
960	1658	67
961	1660	65
962	1661	63
963	1663	62
964	1664	60
965	1666	58
966	1667	56
967	1669	55
968	1670	53
969	1672	51
970	1674	50
971	1675	48
972	1677	46
973	1678	44
974	1680	43
975	1681	41
976	1683	39
977	1684	37
978	1686	36
979	1687	34
980	1689	32
981	1691	30
982	1692	29
983	1694	27
984	1695	25
985	1697	24
986	1698	22
987	1700	20
988	1701	18
989	1702	17
990	1704	15
991	1705	13
992	1707	12
993	1708	10
994	1710	8
995	1711	6
996	1713	5
997	1714	3
998	1716	1
999	1717	0
